,ranges
Choloepus_hoffmanni,1648112.227
Chrotogale_owstoni,219483.4545
Chrotomys_gonzalesi,56.58375336
Chrotomys_mindorensis,27275.32749
Chrotomys_sibuyanensis,13.29864052
Chrotomys_silaceus,4484.591279
Chrotomys_whiteheadi,16762.78485
Chrotopterus_auritus,13116543.83
Chrysochloris_asiatica,41690.00229
Chrysochloris_stuhlmanni,106058.5346
Chrysochloris_visagiei,366.4758708
Chrysocyon_brachyurus,4335915.617
Chrysospalax_trevelyani,40319.19751
Chrysospalax_villosus,44467.94295
Civettictis_civetta,15258990.77
Cloeotis_percivali,528518.6157
Clyomys_bishopi,179568.4674
Clyomys_laticeps,1554514.376
Coccymys_albidens,88.99639139
Coccymys_ruemmleri,106421.1366
Coelops_frithii,2490979.364
Coelops_hirsutus,1715.968099
Coelops_robinsoni,137744.3735
Coendou_bicolor,1229469.442
Coendou_nycthemera,406493.6387
