GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
3114,Sorex_araneus,0.005385877,13234995.25,perc_90,3
3115,Sorex_araneus,0.005822917,13234995.25,perc_90,5
3207,Sorex_araneus,0.006854762,13234995.25,perc_90,5
3126,Sorex_caecutiens,0,17661483.28,perc_90,2
2867,Sorex_caecutiens,0.004385965,17661483.28,perc_90,2
3049,Sorex_caecutiens,0.005263158,17661483.28,perc_90,2
3141,Sorex_caecutiens,0.013157895,17661483.28,perc_90,2
3158,Sorex_cinereus,0.002631579,11571850.26,perc_90,2
2987,Sorex_cinereus,0.002970297,11571850.26,perc_90,2
3159,Sorex_cinereus,0.004385965,11571850.26,perc_90,2
2909,Sorex_cinereus,0.021760633,11571850.26,perc_90,2
2962,Sorex_minutissimus,0.000350877,17484312.75,perc_90,5
3044,Sorex_minutissimus,0.001754386,17484312.75,perc_90,2
2872,Sorex_minutissimus,0.002565125,17484312.75,perc_90,12
2961,Sorex_minutissimus,0.0026012,17484312.75,perc_90,22
3129,Sorex_minutissimus,0.003508772,17484312.75,perc_90,2
2868,Sorex_minutissimus,0.004385965,17484312.75,perc_90,2
3202,Sorex_minutissimus,0.00560054,17484312.75,perc_90,14
3304,Sorex_minutissimus,0.00877193,17484312.75,perc_90,3
3221,Sorex_minutissimus,0.010701754,17484312.75,perc_90,5
2836,Sorex_minutus,0.000900901,14289284.54,perc_90,2
3126,Sorex_minutus,0.002402402,14289284.54,perc_90,3
3112,Sorex_minutus,0.003603604,14289284.54,perc_90,2
3116,Sorex_minutus,0.003603604,14289284.54,perc_90,2
3195,Sorex_minutus,0.003732304,14289284.54,perc_90,8
3200,Sorex_minutus,0.003903904,14289284.54,perc_90,4
3019,Sorex_minutus,0.004100254,14289284.54,perc_90,13
3110,Sorex_minutus,0.004504505,14289284.54,perc_90,2
3114,Sorex_minutus,0.004504505,14289284.54,perc_90,2
3016,Sorex_minutus,0.004864865,14289284.54,perc_90,6
3017,Sorex_minutus,0.005405405,14289284.54,perc_90,2
3106,Sorex_minutus,0.005767553,14289284.54,perc_90,5
3024,Sorex_minutus,0.006006006,14289284.54,perc_90,3
3105,Sorex_minutus,0.006128941,14289284.54,perc_90,27
3025,Sorex_minutus,0.006306306,14289284.54,perc_90,2
3109,Sorex_minutus,0.006426426,14289284.54,perc_90,6
2839,Sorex_minutus,0.007207207,14289284.54,perc_90,2
3108,Sorex_minutus,0.007267267,14289284.54,perc_90,6
3020,Sorex_minutus,0.008378378,14289284.54,perc_90,5
2840,Sorex_minutus,0.008408408,14289284.54,perc_90,3
3194,Sorex_minutus,0.010272437,14289284.54,perc_90,6
3023,Sorex_minutus,0.010810811,14289284.54,perc_90,2
3107,Sorex_minutus,0.011711712,14289284.54,perc_90,2
3014,Sorex_minutus,0.011942712,14289284.54,perc_90,13
3104,Sorex_minutus,0.012190051,14289284.54,perc_90,36
3015,Sorex_minutus,0.012267885,14289284.54,perc_90,25
2927,Sorex_minutus,0.013333333,14289284.54,perc_90,10
2928,Sorex_minutus,0.015975976,14289284.54,perc_90,6
2835,Sorex_minutus,0.019219219,14289284.54,perc_90,3
3158,Sorex_tundrensis,0,16000922.75,perc_90,5
3249,Sorex_tundrensis,0,16000922.75,perc_90,2
